CMDLINE /Users/pawelkulig/Desktop/Python/spintronics-visual/venv/bin/python3.6 main.py
MEM 0.023438 1523422508.1621
MEM 15.378906 1523422508.2666
MEM 34.492188 1523422508.3709
MEM 48.847656 1523422508.4795
MEM 60.890625 1523422508.5871
MEM 69.250000 1523422508.6955
MEM 76.523438 1523422508.8067
MEM 82.226562 1523422508.9116
MEM 95.910156 1523422509.0212
MEM 102.210938 1523422509.1260
MEM 105.929688 1523422509.2312
MEM 112.261719 1523422509.3404
MEM 116.656250 1523422509.4456
MEM 132.140625 1523422509.5548
MEM 136.261719 1523422509.6623
MEM 84.734375 1523422509.7674
MEM 104.304688 1523422509.8733
MEM 109.789062 1523422509.9822
MEM 174.171875 1523422510.0887
MEM 191.429688 1523422510.1938
MEM 218.265625 1523422510.3030
MEM 194.367188 1523422510.4117
MEM 194.367188 1523422510.5235
MEM 194.367188 1523422510.6319
MEM 194.367188 1523422510.7420
MEM 194.367188 1523422510.8537
MEM 194.367188 1523422510.9655
MEM 194.390625 1523422511.0718
MEM 194.390625 1523422511.1840
MEM 194.390625 1523422511.2957
MEM 194.394531 1523422511.4042
MEM 203.292969 1523422511.5094
MEM 212.558594 1523422511.6205
MEM 220.609375 1523422511.7314
MEM 229.140625 1523422511.8385
MEM 232.984375 1523422511.9549
MEM 234.449219 1523422512.0591
MEM 248.066406 1523422512.1672
MEM 273.886719 1523422512.2748
MEM 288.046875 1523422512.3803
MEM 289.105469 1523422512.4896
MEM 289.312500 1523422512.5972
MEM 289.281250 1523422512.7049
MEM 290.070312 1523422512.8164
MEM 290.082031 1523422512.9234
MEM 290.082031 1523422513.0355
MEM 290.085938 1523422513.1465
MEM 290.085938 1523422513.2530
MEM 290.085938 1523422513.3653
MEM 290.085938 1523422513.4774
MEM 290.093750 1523422513.5838
MEM 290.093750 1523422513.6939
MEM 290.093750 1523422513.8001
MEM 290.093750 1523422513.9089
MEM 290.093750 1523422514.0176
MEM 290.332031 1523422514.1293
MEM 293.652344 1523422514.2364
MEM 293.656250 1523422514.3475
MEM 293.656250 1523422514.4596
MEM 293.656250 1523422514.5718
MEM 293.660156 1523422514.6827
MEM 293.660156 1523422514.7934
MEM 293.660156 1523422514.9026
MEM 293.660156 1523422515.0143
MEM 293.660156 1523422515.1245
MEM 293.695312 1523422515.2318
MEM 295.675781 1523422515.3383
MEM 299.628906 1523422515.4427
MEM 301.753906 1523422515.5549
MEM 301.804688 1523422515.6614
MEM 303.937500 1523422515.7682
MEM 304.394531 1523422515.8758
MEM 306.519531 1523422515.9806
MEM 306.570312 1523422516.0919
MEM 306.570312 1523422516.1997
MEM 306.570312 1523422516.3116
MEM 308.804688 1523422516.4170
MEM 308.898438 1523422516.5249
MEM 308.898438 1523422516.6346
MEM 308.925781 1523422516.7437
MEM 309.375000 1523422516.8526
MEM 278.757812 1523422516.9650
MEM 293.535156 1523422517.0731
MEM 293.933594 1523422517.1844
MEM 293.933594 1523422517.2953
MEM 293.933594 1523422517.4072
MEM 293.933594 1523422517.5180
MEM 293.933594 1523422517.6299
MEM 293.941406 1523422517.7374
MEM 293.941406 1523422517.8496
MEM 293.941406 1523422517.9613
MEM 293.941406 1523422518.0710
MEM 293.941406 1523422518.1802
MEM 293.941406 1523422518.2924
MEM 293.941406 1523422518.4045
MEM 293.941406 1523422518.5107
MEM 293.941406 1523422518.6227
MEM 293.941406 1523422518.7344
MEM 293.941406 1523422518.8461
MEM 279.871094 1523422518.9532
MEM 328.328125 1523422519.0597
MEM 452.570312 1523422519.1659
MEM 457.257812 1523422519.2716
MEM 460.378906 1523422519.3814
MEM 463.433594 1523422519.4874
MEM 467.289062 1523422519.5931
MEM 470.210938 1523422519.6990
MEM 473.046875 1523422519.8052
MEM 476.078125 1523422519.9118
MEM 479.246094 1523422520.0217
MEM 482.082031 1523422520.1279
MEM 485.117188 1523422520.2346
MEM 488.632812 1523422520.3435
MEM 492.117188 1523422520.4524
MEM 494.945312 1523422520.5628
MEM 498.332031 1523422520.6698
MEM 501.308594 1523422520.7756
MEM 504.410156 1523422520.8818
MEM 507.660156 1523422520.9878
MEM 510.898438 1523422521.0936
MEM 513.722656 1523422521.2019
MEM 516.828125 1523422521.3083
MEM 520.210938 1523422521.4164
MEM 523.035156 1523422521.5224
MEM 526.421875 1523422521.6315
MEM 597.667969 1523422521.7407
MEM 534.558594 1523422521.8462
MEM 534.558594 1523422521.9584
MEM 534.386719 1523422522.0680
MEM 522.007812 1523422522.1747
MEM 548.742188 1523422522.2811
MEM 548.511719 1523422522.3884
MEM 548.511719 1523422522.5008
MEM 548.511719 1523422522.6123
MEM 548.511719 1523422522.7226
MEM 548.511719 1523422522.8346
MEM 548.511719 1523422522.9469
MEM 548.511719 1523422523.0587
MEM 548.511719 1523422523.1655
MEM 548.511719 1523422523.2777
MEM 548.511719 1523422523.3900
MEM 548.511719 1523422523.4978
MEM 548.511719 1523422523.6055
MEM 548.511719 1523422523.7129
MEM 548.511719 1523422523.8250
MEM 548.511719 1523422523.9361
MEM 548.511719 1523422524.0433
MEM 548.511719 1523422524.1555
MEM 548.511719 1523422524.2676
MEM 548.511719 1523422524.3752
MEM 548.515625 1523422524.4872
MEM 548.648438 1523422524.5977
MEM 548.648438 1523422524.7099
MEM 548.648438 1523422524.8170
MEM 548.648438 1523422524.9288
MEM 548.648438 1523422525.0409
MEM 548.710938 1523422525.1491
MEM 548.710938 1523422525.2597
MEM 548.710938 1523422525.3710
MEM 548.710938 1523422525.4830
MEM 552.113281 1523422525.5893
MEM 542.289062 1523422525.6948
MEM 520.828125 1523422525.8068
MEM 520.828125 1523422525.9187
MEM 520.828125 1523422526.0308
MEM 520.828125 1523422526.1429
MEM 520.828125 1523422526.2496
MEM 520.828125 1523422526.3561
MEM 520.828125 1523422526.4681
MEM 520.828125 1523422526.5758
MEM 520.828125 1523422526.6875
MEM 520.828125 1523422526.7967
MEM 520.828125 1523422526.9090
MEM 520.828125 1523422527.0189
MEM 520.828125 1523422527.1271
MEM 520.828125 1523422527.2391
MEM 520.828125 1523422527.3500
MEM 521.238281 1523422527.4573
MEM 522.843750 1523422527.5642
MEM 523.910156 1523422527.6697
MEM 527.769531 1523422527.7787
MEM 533.902344 1523422527.8883
MEM 536.632812 1523422527.9977
MEM 538.781250 1523422528.1033
MEM 540.363281 1523422528.2104
MEM 545.757812 1523422528.3174
MEM 549.085938 1523422528.4229
MEM 631.644531 1523422528.5294
MEM 650.753906 1523422528.6377
MEM 653.949219 1523422528.7441
MEM 655.281250 1523422528.8508
MEM 656.503906 1523422528.9614
MEM 657.515625 1523422529.0743
MEM 658.546875 1523422529.1847
MEM 659.449219 1523422529.2957
MEM 660.472656 1523422529.4067
MEM 661.328125 1523422529.5164
MEM 662.187500 1523422529.6292
MEM 663.156250 1523422529.7402
MEM 664.042969 1523422529.8464
MEM 664.898438 1523422529.9533
MEM 665.800781 1523422530.0611
MEM 666.671875 1523422530.1687
MEM 667.558594 1523422530.2773
MEM 668.550781 1523422530.3903
MEM 669.546875 1523422530.4986
MEM 670.347656 1523422530.6052
