CMDLINE /Users/pawelkulig/Desktop/Python/spintronics-visual/venv/bin/python3.6 main.py
MEM 0.148438 1523421360.2270
MEM 15.414062 1523421360.3348
MEM 15.992188 1523421360.4409
MEM 17.710938 1523421360.5512
MEM 25.996094 1523421360.6576
MEM 33.070312 1523421360.7619
MEM 35.664062 1523421360.8688
MEM 43.105469 1523421360.9738
MEM 47.945312 1523421361.0796
MEM 51.371094 1523421361.1856
MEM 55.667969 1523421361.2919
MEM 59.894531 1523421361.3970
MEM 64.523438 1523421361.5022
MEM 70.574219 1523421361.6106
MEM 76.316406 1523421361.7155
MEM 80.109375 1523421361.8215
MEM 93.906250 1523421361.9265
MEM 100.785156 1523421362.0345
MEM 103.949219 1523421362.1444
MEM 107.808594 1523421362.2522
MEM 115.128906 1523421362.3581
MEM 129.917969 1523421362.4685
MEM 135.695312 1523421362.5731
MEM 137.648438 1523421362.6804
MEM 84.027344 1523421362.7858
MEM 86.851562 1523421362.8918
MEM 91.058594 1523421362.9971
MEM 98.062500 1523421363.1022
MEM 105.093750 1523421363.2098
MEM 107.714844 1523421363.3156
MEM 110.058594 1523421363.4217
MEM 166.769531 1523421363.5295
MEM 176.156250 1523421363.6379
MEM 207.183594 1523421363.7460
MEM 207.500000 1523421363.8537
MEM 194.679688 1523421363.9652
MEM 194.679688 1523421364.0769
MEM 194.679688 1523421364.1865
MEM 194.679688 1523421364.2984
MEM 194.679688 1523421364.4065
MEM 194.679688 1523421364.5180
MEM 194.679688 1523421364.6297
MEM 194.679688 1523421364.7414
MEM 194.679688 1523421364.8531
MEM 194.679688 1523421364.9650
MEM 194.679688 1523421365.0760
MEM 194.683594 1523421365.1879
MEM 194.683594 1523421365.2998
MEM 194.683594 1523421365.4117
MEM 194.683594 1523421365.5236
MEM 194.683594 1523421365.6313
MEM 194.683594 1523421365.7433
MEM 194.683594 1523421365.8549
MEM 194.683594 1523421365.9670
MEM 194.707031 1523421366.0736
MEM 194.707031 1523421366.1865
MEM 194.707031 1523421366.2980
MEM 194.707031 1523421366.4080
MEM 194.707031 1523421366.5152
MEM 194.707031 1523421366.6269
MEM 194.707031 1523421366.7388
MEM 196.550781 1523421366.8477
MEM 199.007812 1523421366.9530
MEM 199.281250 1523421367.0593
MEM 205.050781 1523421367.1648
MEM 208.433594 1523421367.2704
MEM 210.285156 1523421367.3753
MEM 214.468750 1523421367.4863
MEM 217.925781 1523421367.5947
MEM 226.843750 1523421367.7006
MEM 230.152344 1523421367.8062
MEM 232.250000 1523421367.9111
MEM 235.175781 1523421368.0158
MEM 247.722656 1523421368.1214
MEM 248.179688 1523421368.2283
MEM 264.332031 1523421368.3339
MEM 276.847656 1523421368.4401
MEM 284.859375 1523421368.5496
MEM 288.406250 1523421368.6552
MEM 289.382812 1523421368.7655
MEM 289.554688 1523421368.8727
MEM 290.535156 1523421368.9825
MEM 290.535156 1523421369.0946
MEM 290.535156 1523421369.2066
MEM 290.542969 1523421369.3135
MEM 290.542969 1523421369.4255
MEM 290.542969 1523421369.5376
MEM 290.542969 1523421369.6437
MEM 290.542969 1523421369.7557
MEM 290.542969 1523421369.8623
MEM 290.542969 1523421369.9731
MEM 290.542969 1523421370.0810
MEM 290.542969 1523421370.1917
MEM 290.757812 1523421370.3011
MEM 294.148438 1523421370.4127
MEM 294.148438 1523421370.5207
MEM 294.148438 1523421370.6317
MEM 294.148438 1523421370.7436
MEM 294.148438 1523421370.8501
MEM 294.148438 1523421370.9609
MEM 294.148438 1523421371.0699
MEM 294.187500 1523421371.1821
MEM 294.210938 1523421371.2894
MEM 294.210938 1523421371.3971
MEM 294.210938 1523421371.5087
MEM 294.210938 1523421371.6159
MEM 294.285156 1523421371.7260
MEM 295.281250 1523421371.8302
MEM 299.183594 1523421371.9393
MEM 300.785156 1523421372.0459
MEM 301.503906 1523421372.1528
MEM 301.507812 1523421372.2646
MEM 302.621094 1523421372.3719
MEM 302.867188 1523421372.4837
MEM 302.867188 1523421372.5957
MEM 302.777344 1523421372.7071
MEM 302.726562 1523421372.8154
MEM 302.644531 1523421372.9260
MEM 302.609375 1523421373.0380
MEM 302.609375 1523421373.1501
