CMDLINE /Users/pawelkulig/Desktop/Python/spintronics-visual/venv/bin/python3.6 main.py
MEM 0.222656 1523376543.1964
MEM 13.820312 1523376543.3009
MEM 17.023438 1523376543.4062
MEM 24.750000 1523376543.5118
MEM 33.820312 1523376543.6187
MEM 38.250000 1523376543.7242
MEM 46.144531 1523376543.8318
MEM 50.062500 1523376543.9372
MEM 55.703125 1523376544.0451
MEM 61.191406 1523376544.1509
MEM 65.996094 1523376544.2600
MEM 72.816406 1523376544.3654
MEM 76.753906 1523376544.4714
MEM 81.292969 1523376544.5792
MEM 96.640625 1523376544.6887
MEM 101.953125 1523376544.7952
MEM 105.843750 1523376544.9041
MEM 110.253906 1523376545.0152
MEM 114.800781 1523376545.1204
MEM 130.734375 1523376545.2287
MEM 135.367188 1523376545.3342
MEM 137.148438 1523376545.4442
MEM 87.234375 1523376545.5519
MEM 95.031250 1523376545.6583
MEM 103.605469 1523376545.7654
MEM 107.773438 1523376545.8723
MEM 115.648438 1523376545.9800
MEM 171.480469 1523376546.2500
MEM 174.492188 1523376546.3700
MEM 188.312500 1523376546.4760
MEM 222.796875 1523376546.5921
MEM 237.671875 1523376546.7189
MEM 194.632812 1523376546.8306
MEM 194.632812 1523376546.9406
MEM 194.632812 1523376547.0494
MEM 194.632812 1523376547.1624
MEM 194.632812 1523376547.2731
MEM 194.632812 1523376547.3855
MEM 194.652344 1523376547.4963
MEM 194.652344 1523376547.6030
MEM 194.652344 1523376547.7113
MEM 194.652344 1523376547.8215
MEM 194.652344 1523376547.9301
MEM 194.652344 1523376548.0407
MEM 194.652344 1523376548.1509
MEM 197.308594 1523376548.2608
MEM 199.929688 1523376548.3666
MEM 206.476562 1523376548.4719
MEM 209.472656 1523376548.5804
MEM 214.804688 1523376548.6935
MEM 218.761719 1523376548.7997
MEM 225.136719 1523376548.9081
MEM 227.652344 1523376549.0136
MEM 230.773438 1523376549.1272
MEM 232.585938 1523376549.2373
MEM 244.613281 1523376549.3463
MEM 257.410156 1523376549.4556
MEM 278.152344 1523376549.5657
MEM 283.386719 1523376549.6730
MEM 283.945312 1523376549.7816
MEM 285.070312 1523376549.8936
MEM 285.156250 1523376550.0047
MEM 285.156250 1523376550.1155
MEM 285.160156 1523376550.2227
MEM 285.167969 1523376550.3317
MEM 285.167969 1523376550.4417
MEM 285.167969 1523376550.5512
MEM 285.167969 1523376550.6590
MEM 285.167969 1523376550.7681
MEM 285.167969 1523376550.8763
MEM 285.167969 1523376550.9859
MEM 285.167969 1523376551.0936
MEM 285.167969 1523376551.2056
MEM 285.167969 1523376551.3161
MEM 285.167969 1523376551.4256
MEM 285.167969 1523376551.5372
MEM 285.171875 1523376551.6447
MEM 285.171875 1523376551.7552
MEM 285.171875 1523376551.8626
MEM 285.171875 1523376551.9694
MEM 285.171875 1523376552.0814
MEM 285.171875 1523376552.1909
MEM 285.171875 1523376552.2988
MEM 285.171875 1523376552.4109
MEM 285.375000 1523376552.5195
MEM 285.562500 1523376552.6250
MEM 288.843750 1523376552.7367
MEM 288.843750 1523376552.8442
MEM 288.843750 1523376552.9555
MEM 288.847656 1523376553.0674
MEM 288.847656 1523376553.1771
MEM 288.847656 1523376553.2852
MEM 288.847656 1523376553.3947
MEM 288.847656 1523376553.5040
MEM 288.847656 1523376553.6124
MEM 288.847656 1523376553.7231
MEM 288.914062 1523376553.8355
MEM 290.449219 1523376553.9449
MEM 294.511719 1523376554.0563
MEM 294.589844 1523376554.1659
MEM 296.917969 1523376554.2779
MEM 297.984375 1523376554.3854
MEM 299.027344 1523376554.4947
MEM 298.925781 1523376554.6068
MEM 300.535156 1523376554.7146
MEM 301.292969 1523376554.8240
MEM 303.382812 1523376554.9364
MEM 303.382812 1523376555.0443
MEM 303.410156 1523376555.1536
MEM 304.023438 1523376555.2616
MEM 300.535156 1523376555.3679
MEM 288.703125 1523376555.4797
MEM 289.101562 1523376555.5892
MEM 289.101562 1523376555.6952
MEM 289.101562 1523376555.8075
MEM 289.101562 1523376555.9171
MEM 289.101562 1523376556.0284
MEM 289.113281 1523376556.1387
MEM 289.113281 1523376556.2469
MEM 289.113281 1523376556.3579
MEM 289.113281 1523376556.4675
MEM 289.113281 1523376556.5761
MEM 289.113281 1523376556.6881
MEM 289.113281 1523376556.7949
MEM 289.113281 1523376556.9070
MEM 289.160156 1523376557.0170
MEM 275.449219 1523376557.1228
MEM 293.035156 1523376557.2324
MEM 340.878906 1523376557.3398
MEM 450.203125 1523376557.4504
MEM 453.742188 1523376557.5587
MEM 456.757812 1523376557.6648
MEM 459.636719 1523376557.7724
MEM 462.710938 1523376557.8807
MEM 465.355469 1523376557.9855
MEM 467.960938 1523376558.0914
MEM 471.183594 1523376558.2002
MEM 473.660156 1523376558.3062
MEM 476.062500 1523376558.4136
MEM 478.312500 1523376558.5194
MEM 481.167969 1523376558.6281
MEM 484.335938 1523376558.7357
MEM 486.597656 1523376558.8437
MEM 489.281250 1523376558.9528
MEM 491.820312 1523376559.0585
MEM 494.640625 1523376559.1645
MEM 497.750000 1523376559.2729
MEM 500.570312 1523376559.3833
MEM 503.589844 1523376559.4919
MEM 506.839844 1523376559.6017
MEM 509.949219 1523376559.7108
MEM 512.777344 1523376559.8194
MEM 516.269531 1523376559.9288
MEM 519.343750 1523376560.0387
MEM 522.308594 1523376560.1458
MEM 566.832031 1523376560.2514
MEM 527.554688 1523376560.3607
MEM 530.589844 1523376560.4702
MEM 530.445312 1523376560.5806
MEM 530.445312 1523376560.6886
MEM 530.445312 1523376560.7963
MEM 530.445312 1523376560.9078
