CMDLINE /Users/pawelkulig/Desktop/Python/spintronics-visual/venv/bin/python3.6 main.py
MEM 0.273438 1523421612.4782
MEM 28.292969 1523421612.5878
MEM 41.671875 1523421612.6966
MEM 53.503906 1523421612.8067
MEM 61.593750 1523421612.9157
MEM 69.546875 1523421613.0285
MEM 76.800781 1523421613.1376
MEM 88.160156 1523421613.2505
CHLD 0 1.210938 1523421613.2542
CHLD 1 7.437500 1523421613.2543
MEM 97.042969 1523421613.3587
CHLD 0 1.210938 1523421613.3626
CHLD 1 15.980469 1523421613.3626
MEM 101.929688 1523421613.4682
CHLD 0 1.210938 1523421613.4720
CHLD 1 20.882812 1523421613.4720
MEM 104.796875 1523421613.5810
CHLD 0 1.210938 1523421613.5848
CHLD 1 23.601562 1523421613.5848
MEM 113.773438 1523421613.6901
CHLD 0 1.210938 1523421613.6942
CHLD 1 32.632812 1523421613.6942
MEM 123.757812 1523421613.7994
CHLD 0 1.210938 1523421613.8032
CHLD 1 47.625000 1523421613.8032
MEM 134.664062 1523421613.9124
CHLD 0 1.210938 1523421613.9161
CHLD 1 53.457031 1523421613.9161
MEM 136.550781 1523421614.0256
CHLD 0 1.210938 1523421614.0299
CHLD 1 55.339844 1523421614.0299
MEM 94.132812 1523421614.1344
MEM 107.531250 1523421614.2490
MEM 173.085938 1523421614.3635
MEM 190.304688 1523421614.4762
MEM 236.687500 1523421614.5891
MEM 193.242188 1523421614.7011
MEM 193.242188 1523421614.8135
MEM 193.242188 1523421614.9307
MEM 193.242188 1523421615.0473
MEM 193.242188 1523421615.1638
MEM 193.265625 1523421615.2809
MEM 193.265625 1523421615.3921
MEM 193.265625 1523421615.5040
MEM 193.265625 1523421615.6209
MEM 193.265625 1523421615.7376
MEM 193.269531 1523421615.8515
MEM 193.269531 1523421615.9638
MEM 193.269531 1523421616.0779
MEM 193.433594 1523421616.1903
MEM 205.042969 1523421616.3053
MEM 213.335938 1523421616.4174
MEM 224.265625 1523421616.5289
MEM 228.406250 1523421616.6377
MEM 231.476562 1523421616.7499
MEM 243.074219 1523421616.8647
MEM 252.777344 1523421616.9755
MEM 284.105469 1523421617.0842
MEM 287.273438 1523421617.1945
MEM 287.421875 1523421617.3098
MEM 288.226562 1523421617.4204
MEM 288.226562 1523421617.5329
MEM 288.296875 1523421617.6496
MEM 288.308594 1523421617.7619
MEM 288.308594 1523421617.8786
MEM 288.308594 1523421617.9935
MEM 288.308594 1523421618.1107
MEM 288.308594 1523421618.2274
MEM 288.308594 1523421618.3395
MEM 288.312500 1523421618.4529
MEM 288.312500 1523421618.5646
MEM 288.312500 1523421618.6773
